timestamp,indoor_temp_C,indoor_humidity,occupant_presence,occupant_count,fan_energy_kWh,fan_state,outdoor_temp_C,outdoor_humidity,outdoor_wind_speed
2025-09-07 00:00:00,22.30169141,75.81345501,1,0,0.0,1,19.82210944,72.67408912,1.437495543
2025-09-07 00:05:00,23.55625341,68.56645068,1,0,0.0,0,20.18353816,75.63698848,1.606604831
2025-09-07 00:10:00,22.09955926,77.83456704,0,0,0.0,1,19.55499759,71.36300054,1.275441352
2025-09-07 00:15:00,22.67218675,76.71269014,0,0,0.0,1,20.4263864,76.02632353,1.402477619
2025-09-07 00:20:00,22.68086495,68.87210373,0,0,0.0,1,20.50220899,74.05402192,1.618506845
2025-09-07 00:25:00,22.24090119,73.39359359,0,0,0.0,0,20.14576755,82.57998472,1.993182216
2025-09-07 00:30:00,22.94114771,81.20616423,1,3,0.0,1,20.44733621,75.54946899,0.861820929
2025-09-07 00:35:00,22.28588626,76.86390668,0,0,0.0,0,19.89099172,78.20348906,1.647870664
2025-09-07 00:40:00,22.52830697,73.29512561,0,0,0.0,1,19.85975506,74.53665309,1.955258724
2025-09-07 00:45:00,22.63518424,73.87473009,0,0,0.0,0,20.22466322,77.57418113,2.029256165
2025-09-07 00:50:00,22.67132854,75.91896292,0,0,0.0,0,19.72379238,77.48287249,1.603451335
2025-09-07 00:55:00,22.08939616,74.10622356,0,0,0.0,0,19.46055287,76.00922392,1.784235514
2025-09-07 01:00:00,22.96791224,75.34816398,1,1,0.0,1,20.19758116,76.44611861,1.74580773
2025-09-07 01:05:00,22.37099068,77.05948731,0,0,0.0,0,20.0952399,72.92778127,1.718393804
2025-09-07 01:10:00,22.67278752,74.05766433,0,0,0.0,1,20.50684893,73.66464423,1.809547354
2025-09-07 01:15:00,22.3477638,72.33649701,0,0,0.0,0,20.07169294,73.27395223,1.206423392
2025-09-07 01:20:00,22.74805495,71.55423299,0,0,0.0,0,20.51598307,80.08099597,1.498186886
2025-09-07 01:25:00,22.93136637,71.65302693,0,0,0.0,0,20.71161781,67.17291325,1.369678847
2025-09-07 01:30:00,22.92553844,72.14285255,0,0,0.0,0,20.73698751,72.2658905,1.169785445
2025-09-07 01:35:00,22.8263827,75.89565859,0,0,0.0,0,20.76715534,80.5638351,1.827039272
2025-09-07 01:40:00,22.8716716,69.50806451,0,0,0.0,0,20.49117081,77.74553611,1.054507215
2025-09-07 01:45:00,22.89729359,69.75683467,1,2,0.0,0,20.77644343,79.38681364,1.826153308
2025-09-07 01:50:00,22.62005149,79.29836297,0,0,0.0,0,20.98674213,75.25676072,1.188446971
2025-09-07 01:55:00,23.01455924,72.19921729,0,0,0.078667693,0,20.89305826,78.11687816,1.490668595
2025-09-07 02:00:00,22.76612991,73.54262101,0,0,0.0,0,20.54568031,73.25547175,2.403761861
2025-09-07 02:05:00,23.06265898,71.43773945,0,0,0.078667693,0,20.87859411,77.0370395,1.467440384
2025-09-07 02:10:00,22.86061037,69.28114905,1,3,0.0,0,20.91786237,78.40260967,1.62933035
2025-09-07 02:15:00,22.8800851,70.45814646,1,2,0.0,0,21.14344067,76.08383581,0.758365766
2025-09-07 02:20:00,22.89111564,79.28146023,1,4,0.0,0,21.12725688,76.18469008,1.058909428
2025-09-07 02:25:00,23.39100362,73.02055029,1,4,0.078667693,1,21.47973781,74.76930123,1.563621428
2025-09-07 02:30:00,23.42499592,69.82746735,0,0,0.078667693,1,21.69042415,78.19198941,1.575573959
2025-09-07 02:35:00,23.1397048,79.11640164,0,0,0.078667693,0,21.53331955,80.26329421,1.451336496
2025-09-07 02:40:00,23.13281585,70.16342921,0,0,0.078667693,0,21.37369364,66.99150225,1.158884517
2025-09-07 02:45:00,23.56587214,72.70140714,0,0,0.078667693,0,21.68652816,74.63228767,1.935017555
2025-09-07 02:50:00,23.68765667,74.61345831,0,0,0.078667693,0,21.51672111,71.79221473,1.748173254
2025-09-07 02:55:00,23.59822309,71.17907616,0,0,0.078667693,0,21.53483058,75.32573452,1.036163178
2025-09-07 03:00:00,23.55658257,78.60780731,0,0,0.078667693,0,21.83481632,73.74226689,1.576319605
2025-09-07 03:05:00,23.51870657,78.11377584,0,0,0.078667693,0,22.32837951,69.60479632,1.659390019
2025-09-07 03:10:00,23.43082684,78.5069957,0,0,0.078667693,0,21.862238,75.4561607,1.618470818
2025-09-07 03:15:00,23.5203179,72.25389931,0,0,0.078667693,1,21.64900284,75.32171506,1.511266911
2025-09-07 03:20:00,23.0370689,75.60572265,0,0,0.078667693,0,22.15721698,72.71702265,1.775462956
2025-09-07 03:25:00,23.45030373,69.36943602,0,0,0.078667693,0,21.74956145,76.89629731,2.33587602
